#SampleID	LinkerPrimerSequence	ReversePrimer	remove	Counts	time	Description	ID	Acetate	Butyrate	Fructose	Glucose	Lactate	Propionate	Xylose
NXT005.REB.013.S103	N702	s516	s	53962	Slut	Chow	F13	1.019	0.470	0.191	0.735	0.168	0.248	0.209
NXT005.REB.015.S105	N702	s521	s	66964	Slut	Chow	F15	1.004	1.194	0.107	0.134	0.113	0.263	0.141
NXT005.REB.020.S110	N703	s515	s	72629	Slut	Chow	F20	1.041	0.641	0.155	0.758	0.056	0.217	0.217
NXT005.REB.021.S111	N703	s516	s	95955	Slut	Chow	F21	1.451	0.345	0.165	0.155	0.180	0.252	0.283
NXT005.REB.022.S112	N703	s520	s	22699	Slut	Chow	F22	0.634	0.186	0.232	0.570	0.129	0.095	0.265
NXT005.REB.010.S100	N702	s511	s	39946	Slut	Frankfurter	F10	0.216	0.041	0.108	0.141	0.028	0.062	0.000
NXT005.REB.011.S101	N702	s513	s	59007	Slut	Frankfurter	F11	0.397	0.090	0.059	0.143	0.006	0.105	0.000
NXT005.REB.012.S102	N702	s515	s	63239	Slut	Frankfurter	F12	0.176	0.035	0.051	0.072	0.014	0.052	0.000
NXT005.REB.017.S107	N703	s510	s	65651	Slut	Frankfurter	F17	0.291	0.031	0.065	0.019	0.008	0.081	0.000
NXT005.REB.002.S92	N701	s511	s	52541	Slut	Frankfurter	F2	0.240	0.040	0.051	0.135	0.015	0.055	0.000
NXT005.REB.024.S114	N703	s522	s	44997	Slut	Frankfurter	F24	0.378	0.118	0.051	0.085	0.021	0.117	0.000
NXT005.REB.025.S115	N704	s510	s	41064	Slut	Frankfurter	F25	0.237	0.030	0.099	0.220	0.051	0.043	0.000
NXT005.REB.029.S119	N704	s516	s	87839	Slut	Frankfurter	F29	0.254	0.046	0.032	0.093	0.033	0.060	0.000
NXT005.REB.003.S93	N701	s513	s	38805	Slut	Frankfurter	F3	0.189	0.021	0.068	0.116	0.010	0.059	0.000
NXT005.REB.004.S94	N701	s515	s	37883	Slut	Frankfurter	F4	0.134	0.025	0.051	0.125	0.009	0.039	0.000
NXT005.REB.006.S96	N701	s520	s	41375	Slut	Frankfurter	F6	0.196	0.036	0.054	0.140	0.013	0.048	0.000
NXT005.REB.008.S98	N701	s522	s	33480	Slut	Frankfurter	F8	0.169	0.047	0.076	0.078	0.014	0.049	0.000
NXT005.REB.014.S104	N702	s520	s	65932	Slut	Frankfurter+inulin	F14	0.367	0.077	0.159	0.223	0.058	0.042	0.000
NXT005.REB.016.S106	N702	s522	s	51751	Slut	Frankfurter+inulin	F16	0.360	0.102	0.107	0.022	0.031	0.068	0.000
NXT005.REB.018.S108	N703	s511	s	68266	Slut	Frankfurter+inulin	F18	0.287	0.045	0.151	0.080	0.036	0.068	0.000
NXT005.REB.019.S109	N703	s513	s	69819	Slut	Frankfurter+inulin	F19	0.705	0.656	0.119	0.322	0.015	0.177	0.000
NXT005.REB.023.S113	N703	s521	s	37268	Slut	Frankfurter+inulin	F23	0.627	0.254	0.323	0.506	0.052	0.089	0.000
NXT005.REB.026.S116	N704	s511	s	56154	Slut	Frankfurter+inulin	F26	0.435	0.080	0.158	0.114	0.091	0.079	0.000
NXT005.REB.027.S117	N704	s513	s	48436	Slut	Frankfurter+inulin	F27	0.796	0.232	0.157	0.458	0.034	0.111	0.000
NXT005.REB.028.S118	N704	s515	s	127870	Slut	Frankfurter+inulin	F28	0.464	0.073	0.212	0.112	0.056	0.049	0.000
NXT005.REB.030.S120	N704	s520	s	60909	Slut	Frankfurter+inulin	F30	0.382	0.073	0.167	0.113	0.040	0.068	0.000
NXT005.REB.005.S95	N701	s516	s	25578	Slut	Frankfurter+inulin	F5	0.410	0.097	0.138	0.302	0.017	0.123	0.000
NXT005.REB.007.S97	N701	s521	s	27825	Slut	Frankfurter+inulin	F7	0.286	0.082	0.144	0.292	0.033	0.085	0.000
NXT005.REB.009.S99	N702	s510	s	29353	Slut	Frankfurter+inulin	F9	0.488	0.104	0.319	0.140	0.032	0.095	0.000
NXT005.REB.031.S121	N704	s521	s	54873	Start	Chow	F1							
NXT005.REB.032.S122	N704	s522	s	48689	Start	Frankfurter	F2							
NXT005.REB.033.S123	N705	s510	s	47246	Start	Frankfurter	F3							
NXT005.REB.034.S124	N705	s511	s	60536	Start	Frankfurter	F4							
NXT005.REB.035.S125	N705	s513	s	67736	Start	Frankfurter+inulin	F5							
NXT005.REB.036.S126	N705	s515	s	54964	Start	Frankfurter	F6							
NXT005.REB.037.S127	N705	s516	s	63380	Start	Frankfurter+inulin	F7							
NXT005.REB.038.S128	N705	s520	s	73973	Start	Frankfurter	F8							
NXT005.REB.039.S129	N705	s521	s	61530	Start	Frankfurter+inulin	F9							
NXT005.REB.040.S130	N705	s522	s	75503	Start	Frankfurter	F10							
NXT005.REB.041.S131	N706	s510	s	57552	Start	Frankfurter	F11							
NXT005.REB.042.S132	N706	s511	s	116745	Start	Frankfurter	F12							
NXT005.REB.043.S133	N706	s513	s	44982	Start	Chow	F13							
NXT005.REB.044.S134	N706	s515	s	75698	Start	Frankfurter+inulin	F14							
NXT005.REB.045.S135	N706	s516	s	6647	Start	Chow	F15							
NXT005.REB.046.S136	N706	s520	s	62340	Start	Frankfurter+inulin	F16							
NXT005.REB.047.S137	N706	s521	s	12063	Start	Frankfurter	F17							
NXT005.REB.048.S138	N706	s522	s	46012	Start	Frankfurter+inulin	F18							
NXT005.REB.049.S139	N707	s510	s	85732	Start	Frankfurter+inulin	F19							
NXT005.REB.050.S140	N707	s511	s	124647	Start	Chow	F20							
NXT005.REB.051.S141	N707	s513	s	72397	Start	Chow	F21							
NXT005.REB.052.S142	N707	s515	s	72145	Start	Chow	F22							
NXT005.REB.053.S143	N707	s516	s	61182	Start	Frankfurter+inulin	F23							
NXT005.REB.054.S144	N707	s520	s	48315	Start	Frankfurter	F24							
NXT005.REB.055.S145	N707	s521	s	76271	Start	Frankfurter	F25							
NXT005.REB.056.S146	N707	s522	s	65362	Start	Frankfurter+inulin	F26							
NXT005.REB.057.S147	N708	s510	s	58860	Start	Frankfurter+inulin	F27							
NXT005.REB.058.S148	N708	s511	s	101214	Start	Frankfurter+inulin	F28							
NXT005.REB.059.S149	N708	s513	s	60338	Start	Frankfurter	F29							
NXT005.REB.060.S150	N708	s515	s	103222	Start	Frankfurter+inulin	F30							
