#SampleID	seqs	remove	Study	Birth_mode	ID	Litter	Cage	1male0fem	MLNCD3 CD19/all	MLNNK1,1/CD3 (NKT cells)	MLNCD1d/CD3 (iNKT cells)	MLNNK1,1 CD3-/all (NK cells)	MLNNK1,1 CD3/all (NKT cells.	SpleenCD3 CD19/all	SpleenNK1,1/CD3 (NKT cells)	SpleenCD1d/CD3 (iNKT cells)	SpleenNK1,1 CD3-/all (NK cells)	SpleenNK1,1 CD3/all (NKT cells.	SpleenCD4+  	MLNCD4+  	MLNFoxP3/CD4	MLNFoxP3 CD103/CD4	MLNCD69/FoxP3 CD4	MLNCD103/FoxP3 CD4	MLNCD69/CD4	SPLEENCD4+  	SPLEENFoxP3/CD4	SPLEENFoxP3 CD103/CD4	SPLEENCD69/FoxP3 CD4	SPLEENCD103/FoxP3 CD4	SPLEENCD69/CD4	SPLEENCD69 FoxP3/CD4
 LNE02.LNE02.01	59712	s	Feces	Vaginal	V1 	5	9	0	38.37%	3.00%	1.24%	2.70%	2.24%	34.41%	3.41%	2.34%	3.58%	2.43%	35.39%	12.33%	2.13%	25.64%	19.11%	5.75%	2.16%	21.74%	9.86%	0.88%	14.08%	9.86%	2.87%	0.97%
 LNE02.LNE02.02	79892	s	Feces	Vaginal	V2 	5	10	1	49.30%	1.16%	1.42%	2.01%	1.30%	31.56%	2.24%	1.11%	4.77%	2.11%	35.85%	11.99%	1.73%	21.04%	17.02%	6.35%	1.87%	19.00%	13.14%	1.23%	15.10%	8.57%	3.76%	1.50%
 LNE02.LNE02.03	85845	s	Feces	Vaginal	V3 	6	11	0	45.79%	3.72%	0.75%	4.39%	3.32%	31.42%	4.52%	1.09%	6.74%	2.67%	32.96%	15.73%	3.43%	32.53%	24.04%	11.22%	3.85%	19.19%	13.03%	1.74%	25.51%	15.79%	5.01%	2.22%
 LNE02.LNE02.04	95209	s	Feces	Vaginal	V4	6	11	0	51.58%	3.86%	0.69%	4.00%	3.51%	30.20%	4.40%	1.24%	6.78%	2.87%	35.27%	15.16%	3.04%	33.27%	20.69%	11.19%	4.24%	18.64%	12.96%	1.58%	22.27%	12.61%	4.41%	1.96%
 LNE02.LNE02.05	71015	s	Feces	Vaginal	V5	6	11	0																								
 LNE02.LNE02.06	88490	s	Feces	Vaginal	V6	6	12	1	41.23	0.68	1.9	1.41	0.55	28.04%	3.16%	1.48%	5.46%	2.28%	39.19%	10.38%	2.86%	31.11%	28.79%	9.90%	2.38%	15.60%	14.33%	1.24%	14.55%	9.55%	3.45%	1.30%
 LNE02.LNE02.07	89634	s	Feces	Vaginal	V7	6	12	1											25.19%	8.68%	2.51%	28.91%	35.07%	7.90%	1.60%							
 LNE02.LNE02.08	44116	s	Feces	Vaginal	V8	6	12	1						34.99%	2.65%	1.63%	4.88%	1.92%	25.19%	8.68%	2.51%	28.91%	35.07%	7.90%	1.60%	18.26%	13.83%	1.39%	14.46%	10.44%	2.83%	1.17%
 LNE02.LNE02.09	104332	s	Feces	Vaginal	V9	7	13	0	40.03%	1.07%	1.38%	0.76%	1.10%	32.44%	2.63%	1.46%	3.95%	1.60%	36.34%	9.63%	2.34%	29.67%	27.30%	8.18%	2.14%	18.50%	12.32%	1.49%	18.30%	11.16%	3.25%	1.32%
 LNE02.LNE02.10	97425	s	Feces	Vaginal	V10	7	13	0																								
